insee,no_court,changements,date_notification,id_CAAU,a_compter_du,id_CAAU_old,jusqu_au
version=1.537,chrono=4336041454,dept=42,nb_communes=327,nb_CAAU=19,nb_chgts_pdaa=0,nb_chgts_caau=0,
42017,116117,0,01/01/2000,FR420PDSA,,,
42017,1121,0,01/01/2000,FR790SNSA,,,
42017,1122,0,01/01/2000,FR790SNSB,,,
42017,116111,0,01/01/2000,FR750GPED,,,
42018,15,0,01/01/2000,FR420SAMA,,,
42018,17,0,01/01/2000,FR420PNAB,,,
42018,18,0,01/01/2000,FR420SDIA,,,
42018,112,0,01/01/2000,FR420SDIC,,,
42018,115,0,01/01/2000,FR420C115,,,
42018,191,0,01/01/2000,FR690C191,,,
42018,196,0,01/01/2000,FR620C196,,,
42018,114,0,01/01/2000,FR380C114,,,
42018,119,0,01/01/2000,FR750C119,,,
42018,116000,0,01/01/2000,FR940C116,,,
42018,197,0,01/01/2000,FR920C197,,,
42018,116117,0,01/01/2000,FR420PDSA,,,
42018,1121,0,01/01/2000,FR790SNSA,,,
42018,1122,0,01/01/2000,FR790SNSB,,,
42018,116111,0,01/01/2000,FR750GPED,,,
42019,15,0,01/01/2000,FR420SAMA,,,
42019,17,0,01/01/2000,FR420PNAB,,,
42019,18,0,01/01/2000,FR420SDIA,,,
42019,112,0,01/01/2000,FR420SDIC,,,
42019,115,0,01/01/2000,FR420C115,,,
42019,191,0,01/01/2000,FR690C191,,,
42019,196,0,01/01/2000,FR620C196,,,
42019,114,0,01/01/2000,FR380C114,,,
42019,119,0,01/01/2000,FR750C119,,,
42019,116000,0,01/01/2000,FR940C116,,,
42019,197,0,01/01/2000,FR920C197,,,
42019,116117,0,01/01/2000,FR420PDSA,,,
42019,1121,0,01/01/2000,FR790SNSA,,,
42019,1122,0,01/01/2000,FR790SNSB,,,
42019,116111,0,01/01/2000,FR750GPED,,,
42020,15,0,01/01/2000,FR420SAMA,,,
42020,17,0,01/01/2000,FR420PNAB,,,
42020,18,0,01/01/2000,FR420SDIA,,,
42020,112,0,01/01/2000,FR420SDIC,,,
42020,115,0,01/01/2000,FR420C115,,,
42020,191,0,01/01/2000,FR690C191,,,
42020,196,0,01/01/2000,FR620C196,,,
42020,114,0,01/01/2000,FR380C114,,,
42020,119,0,01/01/2000,FR750C119,,,
42020,116000,0,01/01/2000,FR940C116,,,
42020,197,0,01/01/2000,FR920C197,,,
42020,116117,0,01/01/2000,FR420PDSA,,,
42020,1121,0,01/01/2000,FR790SNSA,,,
42020,1122,0,01/01/2000,FR790SNSB,,,
42020,116111,0,01/01/2000,FR750GPED,,,
42021,15,0,01/01/2000,FR420SAMA,,,
42021,17,0,01/01/2000,FR420PNAB,,,
42021,18,0,01/01/2000,FR420SDIA,,,
42021,112,0,01/01/2000,FR420SDIC,,,
42021,115,0,01/01/2000,FR420C115,,,
42021,191,0,01/01/2000,FR690C191,,,
42021,196,0,01/01/2000,FR620C196,,,
42021,114,0,01/01/2000,FR380C114,,,
42021,119,0,01/01/2000,FR750C119,,,
42021,116000,0,01/01/2000,FR940C116,,,
42021,197,0,01/01/2000,FR920C197,,,
42021,116117,0,01/01/2000,FR420PDSA,,,
42021,1121,0,01/01/2000,FR790SNSA,,,
42021,1122,0,01/01/2000,FR790SNSB,,,
42021,116111,0,01/01/2000,FR750GPED,,,
42022,15,0,01/01/2000,FR420SAMA,,,
42022,17,0,01/01/2000,FR420PNAB,,,
42022,18,0,01/01/2000,FR420SDIA,,,
42022,112,0,01/01/2000,FR420SDIC,,,
42022,115,0,01/01/2000,FR420C115,,,
42022,191,0,01/01/2000,FR690C191,,,
42022,196,0,01/01/2000,FR620C196,,,
42022,114,0,01/01/2000,FR380C114,,,
42022,119,0,01/01/2000,FR750C119,,,
42022,116000,0,01/01/2000,FR940C116,,,
42022,197,0,01/01/2000,FR920C197,,,
42022,116117,0,01/01/2000,FR420PDSA,,,
42022,1121,0,01/01/2000,FR790SNSA,,,
42022,1122,0,01/01/2000,FR790SNSB,,,
42022,116111,0,01/01/2000,FR750GPED,,,
42023,15,0,01/01/2000,FR420SAMA,,,
42023,17,0,01/01/2000,FR420PNAB,,,
42023,18,0,01/01/2000,FR420SDIA,,,
42023,112,0,01/01/2000,FR420SDIC,,,
42023,115,0,01/01/2000,FR420C115,,,
42023,191,0,01/01/2000,FR690C191,,,
42023,196,0,01/01/2000,FR620C196,,,
42023,114,0,01/01/2000,FR380C114,,,
42023,119,0,01/01/2000,FR750C119,,,
42023,116000,0,01/01/2000,FR940C116,,,
42023,197,0,01/01/2000,FR920C197,,,
42023,116117,0,01/01/2000,FR420PDSA,,,
42023,1121,0,01/01/2000,FR790SNSA,,,
42023,1122,0,01/01/2000,FR790SNSB,,,
42023,116111,0,01/01/2000,FR750GPED,,,
42025,15,0,01/01/2000,FR420SAMB,,,
42025,17,0,01/01/2000,FR420PNAB,,,
42025,18,0,01/01/2000,FR420SDIB,,,
42025,112,0,01/01/2000,FR420SDIC,,,
42025,115,0,01/01/2000,FR420C115,,,
42025,191,0,01/01/2000,FR690C191,,,
42025,196,0,01/01/2000,FR620C196,,,
42025,114,0,01/01/2000,FR380C114,,,
42025,119,0,01/01/2000,FR750C119,,,
42025,116000,0,01/01/2000,FR940C116,,,
42025,197,0,01/01/2000,FR920C197,,,
42025,116117,0,01/01/2000,FR420PDSB,,,
42025,1121,0,01/01/2000,FR790SNSA,,,
42025,1122,0,01/01/2000,FR790SNSB,,,
42025,116111,0,01/01/2000,FR750GPED,,,
42026,15,0,01/01/2000,FR420SAMB,,,
42026,17,0,01/01/2000,FR420PNAB,,,
42026,18,0,01/01/2000,FR420SDIB,,,
42026,112,0,01/01/2000,FR420SDIC,,,
42026,115,0,01/01/2000,FR420C115,,,
42026,191,0,01/01/2000,FR690C191,,,
42026,196,0,01/01/2000,FR620C196,,,
42026,114,0,01/01/2000,FR380C114,,,
42026,119,0,01/01/2000,FR750C119,,,
42026,116000,0,01/01/2000,FR940C116,,,
42026,197,0,01/01/2000,FR920C197,,,
42026,116117,0,01/01/2000,FR420PDSB,,,
42026,1121,0,01/01/2000,FR790SNSA,,,
42026,1122,0,01/01/2000,FR790SNSB,,,
42026,116111,0,01/01/2000,FR750GPED,,,
42027,15,0,01/01/2000,FR420SAMB,,,
42027,17,0,01/01/2000,FR420PNAB,,,
42027,18,0,01/01/2000,FR420SDIB,,,
42027,112,0,01/01/2000,FR420SDIC,,,
42027,115,0,01/01/2000,FR420C115,,,
42027,191,0,01/01/2000,FR690C191,,,
42027,196,0,01/01/2000,FR620C196,,,
42027,114,0,01/01/2000,FR380C114,,,
42027,119,0,01/01/2000,FR750C119,,,
42027,116000,0,01/01/2000,FR940C116,,,
42027,197,0,01/01/2000,FR920C197,,,
42027,116117,0,01/01/2000,FR420PDSB,,,
42027,1121,0,01/01/2000,FR790SNSA,,,
42027,1122,0,01/01/2000,FR790SNSB,,,
42027,116111,0,01/01/2000,FR750GPED,,,
42028,15,0,01/01/2000,FR420SAMA,,,
42028,17,0,01/01/2000,FR420PNAB,,,
42028,18,0,01/01/2000,FR420SDIA,,,
42028,112,0,01/01/2000,FR420SDIC,,,
42028,115,0,01/01/2000,FR420C115,,,
42028,191,0,01/01/2000,FR690C191,,,
42028,196,0,01/01/2000,FR620C196,,,
42028,114,0,01/01/2000,FR380C114,,,
42028,119,0,01/01/2000,FR750C119,,,
42028,116000,0,01/01/2000,FR940C116,,,
42028,197,0,01/01/2000,FR920C197,,,
42028,116117,0,01/01/2000,FR420PDSA,,,
42028,1121,0,01/01/2000,FR790SNSA,,,
42028,1122,0,01/01/2000,FR790SNSB,,,
42028,116111,0,01/01/2000,FR750GPED,,,
42029,15,0,01/01/2000,FR420SAMA,,,
42029,17,0,01/01/2000,FR420PNAB,,,
42029,18,0,01/01/2000,FR420SDIB,,,
42029,112,0,01/01/2000,FR420SDIC,,,
42029,115,0,01/01/2000,FR420C115,,,
42029,191,0,01/01/2000,FR690C191,,,
42029,196,0,01/01/2000,FR620C196,,,
42029,114,0,01/01/2000,FR380C114,,,
42029,119,0,01/01/2000,FR750C119,,,
42029,116000,0,01/01/2000,FR940C116,,,
42029,197,0,01/01/2000,FR920C197,,,
42029,116117,0,01/01/2000,FR420PDSA,,,
42029,1121,0,01/01/2000,FR790SNSA,,,
42029,1122,0,01/01/2000,FR790SNSB,,,
42029,116111,0,01/01/2000,FR750GPED,,,
42030,15,0,01/01/2000,FR420SAMA,,,
42030,17,0,01/01/2000,FR420PNAB,,,
42030,18,0,01/01/2000,FR420SDIB,,,
42030,112,0,01/01/2000,FR420SDIC,,,
42030,115,0,01/01/2000,FR420C115,,,
42030,191,0,01/01/2000,FR690C191,,,
42030,196,0,01/01/2000,FR620C196,,,
42030,114,0,01/01/2000,FR380C114,,,
42030,119,0,01/01/2000,FR750C119,,,
42030,116000,0,01/01/2000,FR940C116,,,
42030,197,0,01/01/2000,FR920C197,,,
42030,116117,0,01/01/2000,FR420PDSA,,,
42030,1121,0,01/01/2000,FR790SNSA,,,
42030,1122,0,01/01/2000,FR790SNSB,,,
42030,116111,0,01/01/2000,FR750GPED,,,
42031,15,0,01/01/2000,FR420SAMA,,,
42031,17,0,01/01/2000,FR420PNAA,,,
42031,18,0,01/01/2000,FR420SDIA,,,
42031,112,0,01/01/2000,FR420SDIC,,,
42031,115,0,01/01/2000,FR420C115,,,
42031,191,0,01/01/2000,FR690C191,,,
42031,196,0,01/01/2000,FR620C196,,,
42031,114,0,01/01/2000,FR380C114,,,
42031,119,0,01/01/2000,FR750C119,,,
42031,116000,0,01/01/2000,FR940C116,,,
42031,197,0,01/01/2000,FR920C197,,,
42031,116117,0,01/01/2000,FR420PDSA,,,
42031,1121,0,01/01/2000,FR790SNSA,,,
42031,1122,0,01/01/2000,FR790SNSB,,,
42031,116111,0,01/01/2000,FR750GPED,,,
42032,15,0,01/01/2000,FR420SAMA,,,
42032,17,0,01/01/2000,FR420PNAB,,,
42032,18,0,01/01/2000,FR420SDIA,,,
42032,112,0,01/01/2000,FR420SDIC,,,
42032,115,0,01/01/2000,FR420C115,,,
42032,191,0,01/01/2000,FR690C191,,,
42032,196,0,01/01/2000,FR620C196,,,
42032,114,0,01/01/2000,FR380C114,,,
42032,119,0,01/01/2000,FR750C119,,,
42032,116000,0,01/01/2000,FR940C116,,,
42032,197,0,01/01/2000,FR920C197,,,
42032,116117,0,01/01/2000,FR420PDSA,,,
42032,1121,0,01/01/2000,FR790SNSA,,,
42032,1122,0,01/01/2000,FR790SNSB,,,
42032,116111,0,01/01/2000,FR750GPED,,,
42033,15,0,01/01/2000,FR420SAMB,,,
42033,17,0,01/01/2000,FR420PNAB,,,
42033,18,0,01/01/2000,FR420SDIB,,,
42033,112,0,01/01/2000,FR420SDIC,,,
42033,115,0,01/01/2000,FR420C115,,,
42033,191,0,01/01/2000,FR690C191,,,
42033,196,0,01/01/2000,FR620C196,,,
42033,114,0,01/01/2000,FR380C114,,,
42033,119,0,01/01/2000,FR750C119,,,
42033,116000,0,01/01/2000,FR940C116,,,
42033,197,0,01/01/2000,FR920C197,,,
42033,116117,0,01/01/2000,FR420PDSB,,,
42033,1121,0,01/01/2000,FR790SNSA,,,
42033,1122,0,01/01/2000,FR790SNSB,,,
42033,116111,0,01/01/2000,FR750GPED,,,
42034,15,0,01/01/2000,FR420SAMA,,,
42034,17,0,01/01/2000,FR420PNAB,,,
42034,18,0,01/01/2000,FR420SDIA,,,
42034,112,0,01/01/2000,FR420SDIC,,,
42034,115,0,01/01/2000,FR420C115,,,
42034,191,0,01/01/2000,FR690C191,,,
42034,196,0,01/01/2000,FR620C196,,,
42034,114,0,01/01/2000,FR380C114,,,
42034,119,0,01/01/2000,FR750C119,,,
42034,116000,0,01/01/2000,FR940C116,,,
42034,197,0,01/01/2000,FR920C197,,,
42034,116117,0,01/01/2000,FR420PDSA,,,
42034,1121,0,01/01/2000,FR790SNSA,,,
42034,1122,0,01/01/2000,FR790SNSB,,,
42034,116111,0,01/01/2000,FR750GPED,,,
42035,15,0,01/01/2000,FR420SAMA,,,
42035,17,0,01/01/2000,FR420PNAB,,,
42035,18,0,01/01/2000,FR420SDIA,,,
42035,112,0,01/01/2000,FR420SDIC,,,
42035,115,0,01/01/2000,FR420C115,,,
42035,191,0,01/01/2000,FR690C191,,,
42035,196,0,01/01/2000,FR620C196,,,
42035,114,0,01/01/2000,FR380C114,,,
42035,119,0,01/01/2000,FR750C119,,,
42035,116000,0,01/01/2000,FR940C116,,,
42035,197,0,01/01/2000,FR920C197,,,
